description,category_id,category_name,skill_name,level,source,group_id
"Có ai rảnh dạy .NET / C# không, mình cần gấp trong tuần này.",1,Lập trình,.NET / C#,Không xác định,legacy_cleaned,skill:.net / c#
Cần người review lại các lỗi cơ bản khi làm .NET / C#.,1,Lập trình,.NET / C#,Trung bình,legacy_cleaned,skill:.net / c#
Đang cần người có kinh nghiệm lâu năm về .NET / C# để review công việc thực tế.,1,Lập trình,.NET / C#,Nâng cao,legacy_cleaned,skill:.net / c#
"Đang loay hoay không biết bắt đầu .NET / C# từ đâu, mong được hỗ trợ.",1,Lập trình,.NET / C#,Mới bắt đầu,legacy_cleaned,skill:.net / c#
"Ai có thể giúp mình về A/B Testing không, cảm ơn nhiều.",1,Lập trình,A/B Testing,Không xác định,legacy_cleaned,skill:a/b testing
Cần người giỏi A/B Testing hỗ trợ giải quyết vấn đề khó trong công việc.,1,Lập trình,A/B Testing,Nâng cao,legacy_cleaned,skill:a/b testing
Cần người review lại các lỗi cơ bản khi làm A/B Testing.,1,Lập trình,A/B Testing,Trung bình,legacy_cleaned,skill:a/b testing
Cần tìm người hỗ trợ về A/B Testing.,1,Lập trình,A/B Testing,Không xác định,legacy_cleaned,skill:a/b testing
Muốn tìm người dạy A/B Testing 1 kèm 1 online hoặc offline đều được.,1,Lập trình,A/B Testing,Không xác định,legacy_cleaned,skill:a/b testing
Muốn được đào tạo chuyên sâu A/B Testing để làm freelance/đi làm chính thức.,1,Lập trình,A/B Testing,Nâng cao,legacy_cleaned,skill:a/b testing
Cần người ôn lại và củng cố kiến thức AI Agent ở mức trung bình.,1,Lập trình,AI Agent,Trung bình,legacy_cleaned,skill:ai agent
"Muốn thực hành thêm AI Agent vì đang ở trình độ trung bình, hay bị vướng.",1,Lập trình,AI Agent,Trung bình,legacy_cleaned,skill:ai agent
"Mình đã biết chút ít về AI Agent, muốn học thêm để vững hơn.",1,Lập trình,AI Agent,Trung bình,legacy_cleaned,skill:ai agent
Tìm mentor AI Agent trình độ cao để chuẩn bị đi làm/thi chứng chỉ.,1,Lập trình,AI Agent,Nâng cao,legacy_cleaned,skill:ai agent
Cần chuyên gia Android (Kotlin) hướng dẫn làm dự án thực tế.,1,Lập trình,Android (Kotlin),Nâng cao,legacy_cleaned,skill:android (kotlin)
