description,category_id,category_name,skill_name,level
Mình cần một người hướng dẫn Origami (Xếp giấy) theo lịch linh hoạt.,8,Nghệ thuật,Origami (Xếp giấy),Không xác định
"Đang loay hoay không biết bắt đầu làm đồ ăn vặt từ đâu, mong được hỗ trợ.",10,Nấu ăn,làm đồ ăn vặt,Cơ bản
"Tìm người có kinh nghiệm về Livestream bán hàng để trao đổi, học hỏi.",6,Marketing & Kinh doanh,Livestream bán hàng,Không xác định
Đang cần người có kinh nghiệm lâu năm về After Effects (Motion Graphics) để review công việc thực tế.,4,Thiết kế đồ họa,After Effects (Motion Graphics),Nâng cao
"Mình mất gốc hoàn toàn, muốn tìm người kèm leo núi/trekking từ con số 0.",11,Thể thao,leo núi/trekking,Cơ bản
"Có ai rảnh dạy bơi lội cho trẻ em không, mình cần gấp trong tuần này.",11,Thể thao,bơi lội cho trẻ em,Không xác định
Tìm người có thể thử thách và nâng trình Tiếng Anh B2 của mình lên tầm cao mới.,3,Ngoại ngữ,Tiếng Anh B2,Nâng cao
"Mình đã có nền tảng Tài chính cá nhân khá tốt, muốn học chuyên sâu hơn.",6,Marketing & Kinh doanh,Tài chính cá nhân,Nâng cao
Muốn được đào tạo chuyên sâu Thiết kế Poster sự kiện để làm freelance/đi làm chính thức.,4,Thiết kế đồ họa,Thiết kế Poster sự kiện,Nâng cao
Tìm người luyện tập cùng để cải thiện làm bánh Âu (Baking) ở mức khá.,10,Nấu ăn,làm bánh Âu (Baking),Trung bình
Cần chuyên gia Lịch Sử hướng dẫn làm dự án thực tế.,6,Marketing & Kinh doanh,Lịch Sử,Nâng cao
Cần người ôn lại và củng cố kiến thức Tiếng Việt Tiểu học ở mức trung bình.,12,Gia sư & Học tập,Tiếng Việt Tiểu học,Trung bình
"Tìm gia sư dạy C++ nâng cao cấp độ vỡ lòng, học chậm cũng được.",1,Lập trình phần mềm,C++ nâng cao,Cơ bản
"Tìm người dạy Feature Engineering cho người tay ngang, chưa từng học qua.",2,AI & Data Science,Feature Engineering,Cơ bản
Cần người review lại các lỗi cơ bản khi làm bóng bàn (Ping Pong).,11,Thể thao,bóng bàn (Ping Pong),Trung bình
